ID	Z_meta	P_meta	Direction	HetISq	HetPVal	FDR_meta	TargetFullName	Target	EntrezGeneSymbol	MODEL_AFA	Rsq_AFA	Z_AFA	P_AFA	FDR_AFA	MODEL_CHN	Rsq_CHN	Z_CHN	P_CHN	FDR_CHN	MODEL_CAU	Rsq_CAU	Z_CAU	P_CAU	FDR_CAU	MODEL_HIS	Rsq_HIS	Z_HIS	P_HIS	FDR_HIS
seq.12571.14	-7.002	2.516e-12	----	59.4	0.06054	6.45239636363636e-10	ADP-ribosylation factor-like protein 3	ARL3	ARL3	blup	0.017	-4.4	1.1e-05	0.005786	blup	0.027	-2.75	0.00601	0.281545384615385	blup	0.023	-5.43	5.53e-08	5.80067894736842e-06	blup	0.029	-0.148	0.882	0.989177168272795
seq.2843.13	6.714	1.894e-11	++++	0	0.4552	4.45247833333333e-09	Kunitz-type protease inhibitor 2	SPINT2	SPINT2	lasso	0.15	1.21	0.225	0.837088036117381	lasso	0.25	3.61	0.000304	0.031059	enet	0.26	5.71	1.16e-08	1.444925e-06	top1	0.27	0.788	0.431	0.949429477020602
seq.18864.7	-6.574	4.911e-11	---+	75.5	0.006647	1.065687e-08	Trypsin-3	TRY3	PRSS3	blup	0.048	-0.171	0.864	0.968118384401114	blup	0.13	-1.07	0.286	0.864482926829268	enet	0.16	-7.27	3.57e-13	8.8937625e-11	blup	0.15	1.18	0.236	0.906975
seq.5762.35	-6.517	7.17e-11	??-?	0	1	1.444755e-08	Sperm-associated antigen 11B	Sperm-associated antigen 11	SPAG11B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lasso	0.039	-6.52	7.17e-11	1.428981e-08	NA	NA	NA	NA	NA
seq.21770.18	-6.283	3.33e-10	----	0	0.4236	6.26262e-08	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1	B3GA1	B3GAT1	lasso	0.021	-3.05	0.00228	0.167124545454545	blup	0.07	-1.13	0.259	0.8526	enet	0.19	-5.36	8.24e-08	8.21116e-06	lasso	0.081	-1.71	0.0865	0.847807947019868
seq.14091.42	-5.912	3.38e-09	----	0	0.5939	5.91414352941176e-07	Carbonyl reductase [NADPH] 3	Carbonyl reductase 3	CBR3	lasso	0.25	-2.81	0.00494	0.24360375	enet	0.58	-1.18	0.238	0.8526	enet	0.27	-5.08	3.79e-07	3.14727916666667e-05	top1	0.2	-1.33	0.185	0.906975
seq.3479.71	-5.903	3.564e-09	??-+	44.8	0.1783	5.91414352941176e-07	Trypsin-3	TRY3	PRSS3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	blup	0.015	-6.05	1.42e-09	2.17696923076923e-07	top1	0.02	0.137	0.891	0.989177168272795
seq.11387.3	5.885	3.98e-09	??+-	70.5	0.06552	6.23754444444444e-07	Cyclic AMP-dependent transcription factor ATF-6 beta	ATF6B	ATF6B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	blup	0.072	6.13	8.54e-10	1.41835166666667e-07	lasso	0.037	-0.626	0.531	0.9548382923674
seq.9880.33	-5.837	5.33e-09	??-?	0	1	7.91364736842105e-07	Tryptophan 2,3-dioxygenase	T23O	TDO2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	enet	0.095	-5.84	5.33e-09	7.08179333333333e-07	NA	NA	NA	NA	NA
seq.17341.89	-5.821	5.836e-09	?---	50.4	0.1331	8.231678e-07	Acetyl-CoA acetyltransferase, cytosolic	THIC	ACAT2	NA	NA	NA	NA	NA	top1	0.038	-0.177	0.86	0.986247440273038	top1	0.025	-5.98	2.2e-09	3.13185714285714e-07	lasso	0.086	-1.45	0.147	0.906975
seq.22967.15	-5.608	2.05e-08	??-?	0	1	2.75383333333333e-06	Growth/differentiation factor 7	GDF7	GDF7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	blup	0.015	-5.61	2.05e-08	2.26980555555556e-06	NA	NA	NA	NA	NA
seq.3181.50	-5.543	2.975e-08	-+-+	68.6	0.02261	3.81476136363636e-06	Cathepsin S	Cathepsin S	CTSS	blup	0.027	-0.431	0.667	0.966509207365893	blup	0.033	0.371	0.71	0.982971623155505	lasso	0.18	-6.32	2.58e-10	4.67449090909091e-08	enet	0.093	0.0193	0.985	0.995745454545455
seq.5509.7	-5.494	3.938e-08	----	72.2	0.01293	4.83004260869565e-06	Epidermal growth factor:Extracellular domain	EGF:ECD	EGF	lasso	0.035	-4.61	4.05e-06	0.00319545	top1	0.064	-2.37	0.0178	0.425105882352941	blup	0.013	-3.73	0.000188	0.00871358139534884	top1	0.028	-0.405	0.686	0.989177168272795
seq.21567.214	5.405	6.495e-08	?+++	0	0.9073	7.63433125e-06	Complement C1q tumor necrosis factor-related protein 4	C1QT4	C1QTNF4	NA	NA	NA	NA	NA	enet	0.014	1.58	0.113	0.738574468085106	lasso	0.041	5.13	2.89e-07	2.50424782608696e-05	top1	0.031	0.756	0.45	0.952054794520548
seq.8794.13	5.351	8.755e-08	++++	0	0.4834	9.879142e-06	Dipeptidase 1	DPEP1	DPEP1	enet	0.16	0.272	0.785	0.968118384401114	enet	0.22	2.62	0.00889	0.338375625	enet	0.12	4.74	2.09e-06	0.000154272962962963	lasso	0.11	1.29	0.198	0.906975
seq.21397.21	-5.248	1.54e-07	----	5.2	0.367	1.6709e-05	Protogenin	PRTG	PRTG	enet	0.081	-1.09	0.277	0.893877300613497	lasso	0.14	-0.207	0.836	0.986247440273038	lasso	0.12	-5.3	1.15e-07	1.09140476190476e-05	blup	0.12	-1.17	0.241	0.906975
seq.14150.7	5.196	2.033e-07	-?+?	79	0.02929	2.12410851851852e-05	Interleukin-36 alpha	IL-1F6	IL36A	enet	0.086	-0.423	0.673	0.966509207365893	NA	NA	NA	NA	NA	blup	0.061	5.62	1.92e-08	2.25091764705882e-06	NA	NA	NA	NA	NA
seq.8953.47	5.181	2.21e-07	??++	0	0.9684	2.226575e-05	Hepatoma-derived growth factor	HDGF	HDGF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	top1	0.04	5.07	4.02e-07	3.204744e-05	enet	0.036	1.08	0.282	0.921247563352827
seq.13699.6	5.172	2.312e-07	++??	91.8	0.0004616	2.24901793103448e-05	Prostate-specific antigen	PSA	KLK3	top1	0.032	0.759	0.448	0.966509207365893	enet	0.021	6.2	5.64e-10	1.373904e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.25964.12	5.038	4.704e-07	?+++	0	0.4037	4.423328e-05	Complement C1q tumor necrosis factor-related protein 4	C1QT4	C1QTNF4	NA	NA	NA	NA	NA	top1	0.064	0.565	0.572	0.960562747688243	lasso	0.086	5.14	2.69e-07	2.43689545454545e-05	blup	0.021	0.645	0.519	0.953709468223087
seq.5227.60	4.919	8.681e-07	++??	59.9	0.1141	7.89971e-05	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial	PDK1	PDK1	lasso	0.037	2.04	0.0412	0.555671794871795	blup	0.043	4.75	2.07e-06	0.00042021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.3640.14	-4.892	9.994e-07	-+--	39.4	0.1757	8.810335625e-05	alpha-2-macroglobulin receptor-associated protein	RAP	LRPAP1	lasso	0.16	-1.37	0.171	0.782139130434783	enet	0.065	0.428	0.668	0.9744	enet	0.28	-5.05	4.41e-07	3.38043461538462e-05	lasso	0.33	-1.14	0.252	0.906975
seq.12378.71	-4.529	5.935e-06	+---	11.8	0.3336	0.000507352575757576	Tapasin	TPSN	TAPBP	lasso	0.56	0.0368	0.971	0.990837209302326	lasso	0.17	-0.599	0.549	0.960562747688243	enet	0.092	-4.69	2.67e-06	0.000190046785714286	enet	0.19	-1.23	0.219	0.906975
seq.16758.96	4.473	7.718e-06	??++	0	0.6005	0.000640367	Hepatoma-derived growth factor	HDGF	HDGF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lasso	0.034	4.28	1.89e-05	0.00107622	top1	0.07	1.41	0.159	0.906975
seq.8068.43	4.405	1.06e-05	??+?	0	1	0.00085436	Uncharacterized family 31 glucosidase KIAA1161:Extracellular domain	K1161:ECD	MYORG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lasso	0.036	4.41	1.06e-05	0.000704193333333333	NA	NA	NA	NA	NA
seq.21322.60	-4.38	1.185e-05	----	0	0.9488	0.000928579166666667	Transcription initiation factor IIE subunit beta	T2EB	GTF2E2	top1	0.19	-1.83	0.0669	0.604189189189189	top1	0.25	-1.29	0.197	0.831202702702703	enet	0.23	-3.75	0.000175	0.00830416666666667	lasso	0.16	-0.663	0.507	0.953709468223087
seq.23200.25	4.351	1.358e-05	?++?	11.2	0.2887	0.00103538324324324	Complement C1q tumor necrosis factor-related protein 4	C1QT4	C1QTNF4	NA	NA	NA	NA	NA	top1	0.065	0.565	0.572	0.960562747688243	lasso	0.086	4.44	8.9e-06	0.000611644827586207	NA	NA	NA	NA	NA
seq.19237.17	-4.279	1.874e-05	??--	0	0.4032	0.00139119842105263	D-dopachrome decarboxylase	D-dopachrome decarboxylase	DDT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	enet	0.013	-4.36	1.3e-05	0.000835774193548387	top1	0.062	-0.0375	0.97	0.989941262848752
seq.3066.12	4.242	2.216e-05	??++	0	0.7258	0.00160290666666667	Galectin-3	Galectin-3	LGALS3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	enet	0.11	4.09	4.39e-05	0.00230243947368421	lasso	0.062	1.19	0.233	0.906975
seq.2855.49	4.224	2.4e-05	+++?	0	0.4641	0.0016926	Mitogen-activated protein kinase 3	ERK-1	MAPK3	top1	0.033	0.241	0.81	0.968118384401114	blup	0.014	0.965	0.335	0.899446153846154	top1	0.025	4.29	1.8e-05	0.00105511764705882	NA	NA	NA	NA	NA
seq.3814.63	4.186	2.834e-05	?+++	0	0.5931	0.00194993024390244	Interleukin-11 receptor subunit alpha	IL-11 RA	IL11RA	NA	NA	NA	NA	NA	blup	0.11	1.24	0.214	0.843533980582524	lasso	0.029	3.73	0.000195	0.00883261363636364	enet	0.025	1.77	0.076	0.827484375
seq.18216.22	4.155	3.257e-05	?+++	0	0.4918	0.00218761833333333	Interleukin-11 receptor subunit alpha	IL-11 RA	IL11RA	NA	NA	NA	NA	NA	enet	0.19	1.5	0.134	0.759125581395349	top1	0.014	3.56	0.000373	0.0141766226415094	lasso	0.012	1.94	0.0521	0.761604166666667
seq.13093.6	4.141	3.462e-05	?+++	0	0.7265	0.00227123302325581	Secreted and transmembrane protein 1	SECTM1	SECTM1	NA	NA	NA	NA	NA	enet	0.14	0.707	0.48	0.946019417475728	blup	0.023	4.08	4.57e-05	0.00233538717948718	blup	0.026	0.816	0.414	0.949429477020602
seq.14208.3	4.121	3.78e-05	??+?	0	1	0.00242349545454545	Retinoid-binding protein 7	RET7	RBP7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	enet	0.07	4.12	3.78e-05	0.00203609189189189	NA	NA	NA	NA	NA
seq.21766.50	-4.114	3.889e-05	----	42.9	0.1541	0.00243797088888889	N-sulphoglucosamine sulphohydrolase	SPHM	SGSH	enet	0.086	-1.95	0.0513	0.581605714285714	blup	0.09	-3.31	0.000925	0.070415625	lasso	0.3	-2.7	0.00697	0.055159797979798	enet	0.27	-0.357	0.721	0.989177168272795
seq.2182.54	-4.064	4.827e-05	-+--	0	0.3933	0.0029602102173913	Complement C4b	C4b	C4A|C4B	blup	0.084	-0.631	0.528	0.966509207365893	enet	0.1	0.0963	0.923	0.986247440273038	enet	0.23	-4.3	1.74e-05	0.00105511764705882	enet	0.19	-0.801	0.423	0.949429477020602
seq.16616.137	3.799	0.000145	??+?	0	1	0.00870308510638298	Beta-enolase	ENOB	ENO3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	top1	0.023	3.8	0.000145	0.00704841463414634	NA	NA	NA	NA	NA
seq.7234.12	3.757	0.000172	?+??	0	1	0.00986243725490196	Procollagen galactosyltransferase 2	GT252	COLGALT2	NA	NA	NA	NA	NA	blup	0.021	3.76	0.000172	0.0232773333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.5102.55	3.753	0.0001744	+-++	52	0.1001	0.00986243725490196	MHC class I polypeptide-related sequence B	MICB	MICB	enet	0.16	1.02	0.309	0.920988847583643	lasso	0.31	-0.943	0.346	0.906650306748466	lasso	0.3	4.29	1.78e-05	0.00105511764705882	enet	0.27	0.0479	0.962	0.989334811529933
seq.21940.12	3.75	0.0001766	+-++	0	0.5333	0.00986243725490196	Protein Wnt-10b	WN10B	WNT10B	lasso	0.32	1.38	0.168	0.777498542274052	lasso	0.12	-0.13	0.897	0.986247440273038	enet	0.38	3.71	0.000205	0.00907922222222222	top1	0.24	0.745	0.456	0.953709468223087
seq.6431.68	-3.748	0.0001783	-?--	0	0.6026	0.00986243725490196	Prenylcysteine oxidase 1	PCYOX	PCYOX1	lasso	0.18	-0.383	0.702	0.966509207365893	NA	NA	NA	NA	NA	enet	0.19	-3.62	0.000289	0.0125212391304348	lasso	0.17	-1.33	0.183	0.906975
seq.3003.29	3.652	0.0002605	?+++	37.8	0.2002	0.014132125	Natural cytotoxicity triggering receptor 3	NKp30	NCR3	NA	NA	NA	NA	NA	enet	0.27	0.461	0.645	0.969916564417178	enet	0.084	3.34	0.000841	0.0266049682539683	lasso	0.048	2.28	0.0227	0.761604166666667
seq.24216.30	3.616	0.0002991	++++	65	0.03558	0.015841374137931	Mth938 domain-containing protein	AAMDC	AAMDC	top1	0.089	0.0175	0.986	0.997215335463259	top1	0.29	3.87	0.000109	0.01659525	top1	0.12	2.51	0.012	0.0675593220338983	enet	0.2	0.601	0.548	0.964740834386852
seq.18381.16	-3.61	0.000306	?-??	0	1	0.015841374137931	Aldehyde dehydrogenase, mitochondrial	ALDH-E2	ALDH2	NA	NA	NA	NA	NA	top1	0.39	-3.61	0.000306	0.031059	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.24414.3	-3.607	0.00031	??-?	0	1	0.015841374137931	Glycogen phosphorylase, brain form	Glycogen phosphorylase	PYGB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	top1	0.028	-3.61	0.00031	0.0128714583333333	NA	NA	NA	NA	NA
seq.12422.143	-3.603	0.0003151	--??	49.9	0.1575	0.015841374137931	Arachidonate 15-lipoxygenase B	LX15B	ALOX15B	lasso	0.067	-1.3	0.193	0.799354330708661	lasso	0.042	-3.64	0.000268	0.031059	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.14634.13	-3.598	0.000321	-?--	0	0.6835	0.015841374137931	Lutropin-choriogonadotropic hormone receptor	LSHR	LHCGR	enet	0.29	-1.87	0.0615	0.604189189189189	NA	NA	NA	NA	NA	enet	0.3	-3.04	0.0024	0.055159797979798	blup	0.22	-0.996	0.319	0.921247563352827
seq.3366.51	-3.594	0.0003257	----	0	0.5725	0.015841374137931	Extracellular matrix protein 1	ECM1	ECM1	top1	0.095	-1.2	0.229	0.837088036117381	lasso	0.3	-2.49	0.0128	0.399753846153846	lasso	0.4	-2.68	0.0074	0.055159797979798	enet	0.31	-0.315	0.753	0.989177168272795
seq.10890.135	-3.556	0.000377	??-?	0	1	0.0179086483333333	Lactase-like protein	LCTL	LCTL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	blup	0.012	-3.56	0.000377	0.0141766226415094	NA	NA	NA	NA	NA
seq.11440.58	3.553	0.0003809	++++	0	0.9615	0.0179086483333333	Suppressor of cytokine signaling 3	SOCS-3	SOCS3	top1	0.24	0.951	0.342	0.93915570934256	enet	0.28	1.63	0.103	0.736153846153846	top1	0.18	3.04	0.00237	0.055159797979798	top1	0.18	0.341	0.733	0.989177168272795
seq.5088.175	3.547	0.0003892	+?++	18.7	0.2924	0.0179989049180328	Interleukin-23 receptor	IL-23 R	IL23R	top1	0.068	2.1	0.0354	0.526992452830189	NA	NA	NA	NA	NA	top1	0.1	2.75	0.00596	0.055159797979798	blup	0.1	1.75	0.0805	0.841315789473684
seq.15526.33	-3.539	0.0004012	-?--	0	0.5984	0.0182546	Glutathione synthetase	GSHB	GSS	blup	0.06	-1.75	0.0794	0.604189189189189	NA	NA	NA	NA	NA	lasso	0.065	-2.94	0.00331	0.055159797979798	top1	0.02	-1.36	0.174	0.906975
seq.12334.25	3.498	0.0004689	++++	0	0.7223	0.020937109375	Serine hydroxymethyltransferase, cytosolic	cSHMT	SHMT1	enet	0.099	0.0702	0.944	0.980806833114323	top1	0.27	1.52	0.13	0.756981308411215	enet	0.17	3.14	0.00166	0.0465969014084507	enet	0.2	1.17	0.241	0.906975
seq.2571.12	3.494	0.000475	?+??	0	1	0.020937109375	Insulin-like growth factor-binding protein 3	IGFBP-3	IGFBP3	NA	NA	NA	NA	NA	lasso	0.07	3.49	0.000475	0.0404376	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.10743.13	3.482	0.000498	?+??	0	1	0.0216132	SLIT and NTRK-like protein 1	SLIK1	SLITRK1	NA	NA	NA	NA	NA	lasso	0.12	3.48	0.000498	0.0404376	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.11178.21	-3.472	0.000517	??-?	0	1	0.0220978333333333	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1:EGF-like domains 4-6	SVEP1:EGF-like domains 4-6	SVEP1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	enet	0.1	-3.47	0.000517	0.0183996607142857	NA	NA	NA	NA	NA
seq.23153.14	-3.43	0.000604	-???	0	1	0.0252396529411765	BIK	BIK	BIK	enet	0.035	-3.43	0.000604	0.104486142857143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.3061.61	-3.428	0.0006084	??--	49.4	0.1599	0.0252396529411765	Cathepsin B	Cathepsin B	CTSB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	top1	0.093	-3.08	0.00209	0.052067125	enet	0.067	-2.06	0.0391	0.761604166666667
seq.16918.198	-3.418	0.0006314	----	0	0.4279	0.0258141942028985	Toll-like receptor 3	TLR3	TLR3	enet	0.2	-2.3	0.0213	0.4734	enet	0.51	-0.632	0.528	0.960562747688243	lasso	0.42	-2.6	0.00942	0.061353137254902	lasso	0.36	-1.42	0.156	0.906975
seq.6547.83	3.408	0.0006547	+?+?	0	0.7057	0.0262114605633803	Transmembrane protease serine 11D	TM11D	TMPRSS11D	blup	0.077	0.722	0.471	0.966509207365893	NA	NA	NA	NA	NA	lasso	0.12	3.35	0.000802	0.0262030491803279	NA	NA	NA	NA	NA
seq.19272.9	-3.406	0.0006597	+---	0	0.593	0.0262114605633803	Peflin	PEF1	PEF1	enet	0.41	0.272	0.786	0.968118384401114	enet	0.18	-1.46	0.144	0.786511210762332	enet	0.25	-3.34	0.000832	0.0266049682539683	lasso	0.54	-0.353	0.724	0.989177168272795
seq.16913.8	3.382	0.0007202	-+++	6.9	0.3586	0.0282178361111111	Ribonuclease T2	RNT2	RNASET2	enet	0.076	-0.694	0.488	0.966509207365893	enet	0.074	0.995	0.32	0.881339325842697	lasso	0.1	3.55	0.00039	0.0143938888888889	lasso	0.085	0.781	0.435	0.952054794520548
seq.9577.26	-3.364	0.000768	??-?	0	1	0.0296784657534247	Synaptotagmin-2	SYT2	SYT2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	enet	0.011	-3.36	0.000768	0.025942779661017	NA	NA	NA	NA	NA
seq.9297.12	3.354	0.0007953	+-+-	63.7	0.04066	0.0301401578947368	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8	B3GN8	B3GNT8	lasso	0.21	0.394	0.694	0.966509207365893	lasso	0.41	-0.792	0.429	0.944247557003257	enet	0.31	4.21	2.6e-05	0.00143938888888889	top1	0.34	-1.03	0.304	0.921247563352827
seq.18225.13	3.349	0.0008115	??++	0	0.411	0.0301401578947368	Heme-binding protein 1	HEBP1	HEBP1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	enet	0.13	3.12	0.00183	0.0499615068493151	enet	0.14	1.47	0.14	0.896774193548387
seq.9322.15	-3.349	0.000812	-???	0	1	0.0301401578947368	Reticulocalbin-1	RCN1	RCN1	top1	0.056	-3.35	0.000812	0.104486142857143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.7803.4	-3.333	0.000858	??-?	0	1	0.031434	Carbohydrate sulfotransferase 1	CHST1	CHST1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	top1	0.042	-3.33	0.000858	0.02671865625	NA	NA	NA	NA	NA
seq.2643.57	-3.305	0.0009513	-?-+	0	0.5232	0.03440535	Cadherin-3	P-Cadherin	CDH3	blup	0.061	-0.303	0.762	0.966509207365893	NA	NA	NA	NA	NA	enet	0.12	-3.48	0.000504	0.0182631272727273	top1	0.084	0.152	0.879	0.989177168272795
seq.2991.9	-3.294	0.0009877	?--?	0	0.8565	0.0352696417721519	Interleukin-1 receptor type 1	IL-1 sRI	IL1R1	NA	NA	NA	NA	NA	enet	0.022	-1.35	0.178	0.831202702702703	enet	0.025	-3.01	0.0026	0.055159797979798	NA	NA	NA	NA	NA
seq.4192.10	-3.287	0.001012	??--	0	0.3822	0.035434512195122	Alcohol dehydrogenase [NADP(+)]	AK1A1	AKR1A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	enet	0.22	-3.05	0.00232	0.0550447619047619	blup	0.074	-1.52	0.13	0.884545454545455
seq.13475.10	-3.285	0.00102	?-??	0	1	0.035434512195122	Ubiquitin-conjugating enzyme E2 D4	UB2D4	UBE2D4	NA	NA	NA	NA	NA	lasso	0.033	-3.29	0.00102	0.07308	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.17384.110	-3.282	0.00103	??-?	0	1	0.035434512195122	ATP-dependent 6-phosphofructokinase, muscle type	K6PF	PFKM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lasso	0.042	-3.28	0.00103	0.0311028787878788	NA	NA	NA	NA	NA
seq.12524.18	3.273	0.001065	+?+?	12.9	0.284	0.0361971686746988	Diamine acetyltransferase 2	SAT2	SAT2	enet	0.016	0.0197	0.984	0.996631578947369	NA	NA	NA	NA	NA	enet	0.037	3.44	0.000574	0.0200698596491228	NA	NA	NA	NA	NA
seq.24256.7	3.258	0.001121	+?++	0	0.7377	0.0373035764705882	Kelch-like protein 40	KLH40	KLHL40	top1	0.097	1.64	0.102	0.638714285714286	NA	NA	NA	NA	NA	top1	0.17	2.75	0.00596	0.055159797979798	lasso	0.11	0.994	0.32	0.921247563352827
seq.4330.4	3.258	0.001124	?+-+	98.1	4.113e-24	0.0373035764705882	Prostate-specific antigen	PSA	KLK3	NA	NA	NA	NA	NA	top1	0.058	9.35	8.74e-21	3.54844e-18	top1	0.019	-1.14	0.254	0.513930964467005	top1	0.019	5.44	5.37e-08	1.866075e-05
seq.11278.4	-3.244	0.00118	??-?	0	1	0.0387067441860465	Collagen alpha-2(XI) chain	COL11A2	COL11A2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	enet	0.04	-3.24	0.00118	0.0351005970149254	NA	NA	NA	NA	NA
seq.13723.6	3.231	0.001233	??+-	0	0.3521	0.0399803793103448	Interleukin-10	IL-10	IL10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	enet	0.11	3.35	0.000802	0.0262030491803279	top1	0.12	-0.265	0.791	0.989177168272795
seq.9216.100	3.219	0.001286	++++	13.4	0.3253	0.0410788314606742	Plexin-B2	PLXB2	PLXNB2	enet	0.061	2.22	0.0266	0.493821176470588	enet	0.093	0.0486	0.961	0.990269035532995	lasso	0.16	2.62	0.00883	0.0588568227424749	lasso	0.1	1.43	0.152	0.906975
seq.3676.15	-3.217	0.001296	---+	0	0.4824	0.0410788314606742	Cation-independent mannose-6-phosphate receptor	IGF-II receptor	IGF2R	enet	0.15	-0.134	0.894	0.971578512396694	enet	0.41	-0.213	0.831	0.986247440273038	enet	0.31	-3.57	0.00036	0.0140682352941176	lasso	0.17	0.129	0.897	0.989177168272795
