PANEL	FILE	ID	HSQ	MODEL	N_SNP	N_cis	N_trans	MODELCV.R2	MODELCV.PV	PWAS.Z	PWAS.P	FDR	Bonferroni_p
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.21770.18.wgt.RDat	seq.21770.18	0.0832	lasso	7	7	0	0.021	0.0011	-3.05	0.00228	0.167124545454545	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.4908.6.wgt.RDat	seq.4908.6	0.215	lasso	9	0	9	0.14	2.3e-16	3.04	0.00233	0.167124545454545	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.12800.5.wgt.RDat	seq.12800.5	0.0903	top1	1	0	1	0.086	1.4e-10	3.01	0.00263	0.1729225	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.20444.12.wgt.RDat	seq.20444.12	0.0675	top1	1	1	0	0.071	5.9e-09	3.01	0.00263	0.1729225	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.5132.71.wgt.RDat	seq.5132.71	0.161	enet	24	0	24	0.11	3.5e-13	2.97	0.00301	0.188753076923077	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.13397.88.wgt.RDat	seq.13397.88	0.0477	enet	12	12	0	0.02	0.0014	2.96	0.00311	0.188753076923077	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.24678.10.wgt.RDat	seq.24678.10	0.0415	top1	1	1	0	0.019	0.0022	2.9	0.00374	0.211669655172414	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.5738.25.wgt.RDat	seq.5738.25	0.19	blup	2505	2316	189	0.069	8.3e-09	2.89	0.00381	0.211669655172414	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.13094.75.wgt.RDat	seq.13094.75	0.0546	enet	16	16	0	0.04	1.1e-05	2.89	0.00389	0.211669655172414	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.5630.48.wgt.RDat	seq.5630.48	0.292	lasso	20	10	10	0.22	3e-26	-2.87	0.00413	0.217238	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.8275.31.wgt.RDat	seq.8275.31	0.224	lasso	13	7	6	0.097	9e-12	2.82	0.00474	0.241281290322581	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.14091.42.wgt.RDat	seq.14091.42	0.351	lasso	14	14	0	0.25	6e-30	-2.81	0.00494	0.24360375	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.16746.12.wgt.RDat	seq.16746.12	0.0655	lasso	5	5	0	0.033	5.8e-05	-2.79	0.00535	0.255827272727273	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.19561.216.wgt.RDat	seq.19561.216	0.244	lasso	9	0	9	0.15	3.6e-18	2.72	0.00656	0.289563	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.15615.8.wgt.RDat	seq.15615.8	0.353	enet	87	87	0	0.2	2e-23	2.71	0.00664	0.289563	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.16613.3.wgt.RDat	seq.16613.3	0.255	blup	1565	780	785	0.14	4.6e-16	2.71	0.0067	0.289563	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.23257.14.wgt.RDat	seq.23257.14	0.305	top1	1	1	0	0.29	7.5e-35	-2.7	0.00692	0.289563	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.21797.4.wgt.RDat	seq.21797.4	0.772	enet	179	175	4	0.74	7.6e-133	2.69	0.00708	0.289563	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.6444.15.wgt.RDat	seq.6444.15	0.529	enet	133	120	13	0.36	2.8e-45	-2.69	0.00723	0.289563	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.6260.14.wgt.RDat	seq.6260.14	0.196	blup	3429	3297	132	0.072	4e-09	2.68	0.00734	0.289563	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.8528.74.wgt.RDat	seq.8528.74	0.216	enet	20	0	20	0.17	1.1e-19	2.65	0.00817	0.311467142857143	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.13545.97.wgt.RDat	seq.13545.97	0.0604	top1	1	1	0	0.04	1.1e-05	-2.64	0.00829	0.311467142857143	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.22576.1.wgt.RDat	seq.22576.1	0.184	lasso	13	0	13	0.17	1.1e-20	2.6	0.00946	0.34716	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.4703.87.wgt.RDat	seq.4703.87	0.0938	top1	1	0	1	0.062	4.8e-08	2.58	0.00985	0.353256818181818	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.2611.72.wgt.RDat	seq.2611.72	0.0511	top1	1	1	0	0.033	6.6e-05	-2.57	0.0103	0.361186666666667	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.18873.8.wgt.RDat	seq.18873.8	0.0745	blup	4078	3923	155	0.037	2.6e-05	-2.55	0.0107	0.36705652173913	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.8427.118.wgt.RDat	seq.8427.118	0.0793	top1	1	1	0	0.066	1.9e-08	2.53	0.0114	0.382748936170213	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.2768.56.wgt.RDat	seq.2768.56	0.61	enet	119	0	119	0.4	6.6e-52	2.5	0.0123	0.4043625	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.9287.6.wgt.RDat	seq.9287.6	0.195	enet	20	0	20	0.17	9.8e-20	-2.48	0.013	0.406638461538462	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.10037.98.wgt.RDat	seq.10037.98	0.396	lasso	9	9	0	0.29	1.4e-35	-2.48	0.0131	0.406638461538462	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.7008.13.wgt.RDat	seq.7008.13	0.112	blup	698	0	698	0.076	1.7e-09	2.48	0.0132	0.406638461538462	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.13998.26.wgt.RDat	seq.13998.26	0.145	enet	28	28	0	0.058	1.4e-07	-2.47	0.0134	0.406638461538462	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.2816.50.wgt.RDat	seq.2816.50	0.0731	top1	1	0	1	0.06	8.3e-08	2.46	0.0138	0.410875471698113	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.8932.1.wgt.RDat	seq.8932.1	0.0657	top1	1	1	0	0.076	1.8e-09	-2.44	0.0146	0.424427586206897	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.17495.141.wgt.RDat	seq.17495.141	0.14	enet	15	4	11	0.14	9.1e-17	2.43	0.0151	0.424427586206897	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.17766.5.wgt.RDat	seq.17766.5	0.117	top1	1	1	0	0.072	4.6e-09	2.43	0.0151	0.424427586206897	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.12425.104.wgt.RDat	seq.12425.104	0.0808	top1	1	1	0	0.031	9.9e-05	2.42	0.0155	0.424427586206897	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.8360.169.wgt.RDat	seq.8360.169	0.0548	enet	7	7	0	0.033	5.7e-05	-2.42	0.0156	0.424427586206897	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.9196.8.wgt.RDat	seq.9196.8	0.0659	enet	23	23	0	0.065	2.6e-08	-2.38	0.0172	0.450118032786885	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.5063.12.wgt.RDat	seq.5063.12	0.0693	top1	1	1	0	0.083	2.6e-10	-2.38	0.0173	0.450118032786885	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.15462.28.wgt.RDat	seq.15462.28	0.105	enet	26	0	26	0.092	3e-11	-2.38	0.0174	0.450118032786885	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.7244.16.wgt.RDat	seq.7244.16	0.0446	lasso	3	3	0	0.019	0.0019	-2.37	0.0177	0.450493548387097	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.11308.8.wgt.RDat	seq.11308.8	0.211	lasso	6	2	4	0.16	3.7e-19	-2.35	0.0185	0.45860625	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.8983.7.wgt.RDat	seq.8983.7	0.0443	top1	1	1	0	0.01	0.019	2.35	0.0186	0.45860625	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.4342.10.wgt.RDat	seq.4342.10	0.577	enet	26	25	1	0.54	5.4e-77	-2.35	0.0189	0.458833846153846	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.9337.43.wgt.RDat	seq.9337.43	0.068	lasso	9	9	0	0.041	8.9e-06	-2.34	0.0192	0.459054545454545	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.3855.56.wgt.RDat	seq.3855.56	0.0453	blup	771	771	0	0.027	0.00029	2.33	0.0197	0.463979104477612	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.6042.52.wgt.RDat	seq.6042.52	0.138	enet	37	37	0	0.088	8.8e-11	2.32	0.0201	0.466438235294118	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.3303.23.wgt.RDat	seq.3303.23	0.0166	enet	3	3	0	0.05	8.9e-07	-2.32	0.0204	0.466539130434783	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.3175.51.wgt.RDat	seq.3175.51	0.435	enet	34	34	0	0.33	7.3e-41	2.3	0.0212	0.4734	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.16918.198.wgt.RDat	seq.16918.198	0.278	enet	38	38	0	0.2	5e-24	-2.3	0.0213	0.4734	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.7059.14.wgt.RDat	seq.7059.14	0.731	enet	90	90	0	0.47	1.8e-63	-2.3	0.0216	0.4734	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.13124.20.wgt.RDat	seq.13124.20	0.227	enet	20	0	20	0.16	3.4e-19	2.29	0.0219	0.4734	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.11187.11.wgt.RDat	seq.11187.11	0.774	lasso	8	8	0	0.73	1.3e-128	-2.27	0.023	0.490459459459459	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.6107.3.wgt.RDat	seq.6107.3	0.235	enet	62	0	62	0.17	1.2e-20	2.27	0.0234	0.492185714285714	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.17329.2.wgt.RDat	seq.17329.2	0.0338	top1	1	1	0	0.018	0.0026	-2.25	0.0242	0.492185714285714	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.23384.19.wgt.RDat	seq.23384.19	0.0508	enet	22	22	0	0.021	0.0011	-2.25	0.0246	0.492185714285714	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.11390.24.wgt.RDat	seq.11390.24	0.0403	blup	693	693	0	0.017	0.0034	-2.25	0.0247	0.492185714285714	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.6998.106.wgt.RDat	seq.6998.106	0.136	enet	33	33	0	0.091	4.2e-11	2.24	0.025	0.492185714285714	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.15602.43.wgt.RDat	seq.15602.43	0.535	lasso	13	13	0	0.45	2.1e-60	2.23	0.0256	0.492185714285714	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.3285.23.wgt.RDat	seq.3285.23	0.0793	blup	360	360	0	0.039	1.3e-05	2.23	0.0256	0.492185714285714	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.5035.7.wgt.RDat	seq.5035.7	0.035	lasso	4	4	0	0.03	0.00013	-2.23	0.0258	0.492185714285714	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.5036.50.wgt.RDat	seq.5036.50	0.0803	enet	34	34	0	0.041	9.5e-06	-2.23	0.0259	0.492185714285714	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.6471.53.wgt.RDat	seq.6471.53	0.596	enet	142	127	15	0.42	6.6e-55	2.22	0.0262	0.492185714285714	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.9216.100.wgt.RDat	seq.9216.100	0.105	enet	17	17	0	0.061	6e-08	2.22	0.0266	0.493821176470588	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.5131.15.wgt.RDat	seq.5131.15	0.0657	blup	751	751	0	0.04	1.1e-05	-2.21	0.027	0.495418604651163	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.2828.82.wgt.RDat	seq.2828.82	0.487	lasso	10	5	5	0.48	1.1e-66	2.2	0.0279	0.502090909090909	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.8092.29.wgt.RDat	seq.8092.29	0.491	enet	44	44	0	0.43	1.5e-57	2.2	0.028	0.502090909090909	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.7190.50.wgt.RDat	seq.7190.50	0.144	blup	757	0	757	0.08	6.3e-10	2.19	0.0286	0.503206666666667	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.25121.7.wgt.RDat	seq.25121.7	0.19	enet	27	0	27	0.11	7.9e-13	2.19	0.0287	0.503206666666667	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.23269.40.wgt.RDat	seq.23269.40	0.165	lasso	6	0	6	0.15	8.2e-18	-2.17	0.03	0.506974468085106	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.12530.14.wgt.RDat	seq.12530.14	0.106	lasso	4	2	2	0.12	1e-14	-2.17	0.0301	0.506974468085106	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.3232.28.wgt.RDat	seq.3232.28	0.0784	blup	3461	3454	7	0.034	5e-05	-2.17	0.0302	0.506974468085106	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.7131.207.wgt.RDat	seq.7131.207	0.278	lasso	18	18	0	0.16	2.9e-19	2.17	0.0302	0.506974468085106	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.23310.51.wgt.RDat	seq.23310.51	0.112	lasso	5	0	5	0.052	5.4e-07	-2.16	0.031	0.514926315789474	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.21331.19.wgt.RDat	seq.21331.19	0.0956	blup	719	719	0	0.047	1.9e-06	2.14	0.032	0.519162	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.21236.12.wgt.RDat	seq.21236.12	0.145	top1	1	0	1	0.099	5.2e-12	2.14	0.0323	0.519162	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.4542.24.wgt.RDat	seq.4542.24	0.212	blup	4144	4144	0	0.086	1.4e-10	2.14	0.0325	0.519162	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.3050.7.wgt.RDat	seq.3050.7	0.101	enet	11	0	11	0.13	6.2e-15	2.13	0.0328	0.519162	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.8866.53.wgt.RDat	seq.8866.53	0.127	blup	933	933	0	0.05	1e-06	-2.13	0.0329	0.519162	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.2567.5.wgt.RDat	seq.2567.5	0.116	enet	37	37	0	0.071	6.2e-09	2.13	0.0334	0.521358823529412	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.21722.21.wgt.RDat	seq.21722.21	0.253	enet	51	51	0	0.27	5.1e-33	2.12	0.0337	0.521358823529412	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.8239.223.wgt.RDat	seq.8239.223	0.1	enet	69	69	0	0.059	1.1e-07	-2.11	0.0346	0.526992452830189	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.13631.1.wgt.RDat	seq.13631.1	0.0585	lasso	2	0	2	0.061	6.4e-08	-2.11	0.035	0.526992452830189	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.15535.3.wgt.RDat	seq.15535.3	0.254	lasso	11	0	11	0.25	2.1e-29	-2.11	0.0351	0.526992452830189	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.5088.175.wgt.RDat	seq.5088.175	0.0816	top1	1	0	1	0.068	1.1e-08	2.1	0.0354	0.526992452830189	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.12347.29.wgt.RDat	seq.12347.29	0.016	enet	9	9	0	0.01	0.018	2.08	0.0376	0.55451214953271	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.11513.92.wgt.RDat	seq.11513.92	0.0642	top1	1	0	1	0.065	2.5e-08	2.06	0.039	0.555671794871795	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.19317.114.wgt.RDat	seq.19317.114	0.0492	enet	28	28	0	0.02	0.0017	-2.06	0.039	0.555671794871795	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.2682.68.wgt.RDat	seq.2682.68	0.0373	top1	1	1	0	0.037	2.1e-05	-2.06	0.0391	0.555671794871795	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.15686.49.wgt.RDat	seq.15686.49	0.539	enet	52	52	0	0.44	4.7e-59	2.05	0.04	0.555671794871795	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.23566.6.wgt.RDat	seq.23566.6	0.446	lasso	8	7	1	0.38	4.2e-49	-2.05	0.0406	0.555671794871795	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.9313.27.wgt.RDat	seq.9313.27	0.627	enet	113	109	4	0.48	5e-66	2.05	0.0406	0.555671794871795	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.20578.10.wgt.RDat	seq.20578.10	0.0961	lasso	4	0	4	0.12	1.5e-14	-2.05	0.0408	0.555671794871795	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.8232.90.wgt.RDat	seq.8232.90	0.388	lasso	12	12	0	0.32	9e-40	2.04	0.041	0.555671794871795	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.6393.63.wgt.RDat	seq.6393.63	0.525	enet	61	61	0	0.45	9e-60	2.04	0.0411	0.555671794871795	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.5227.60.wgt.RDat	seq.5227.60	0.0684	lasso	11	11	0	0.037	2.2e-05	2.04	0.0412	0.555671794871795	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.15558.63.wgt.RDat	seq.15558.63	0.135	lasso	6	6	0	0.045	3.2e-06	2.04	0.0417	0.557649152542373	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.13689.2.wgt.RDat	seq.13689.2	0.175	lasso	6	0	6	0.16	2e-18	-2.02	0.0429	0.566527868852459	1
